step,epoch,mean_iou,mean_accuracy,loss,val_mean_iou,val_mean_accuracy,val_loss
49,0,0.1461055846096518,0.30722443277211897,1.717463493347168,,,
99,0,0.2831181633071199,0.3965460374755367,1.6388200521469116,,,
119,0,,,,0.34751031186691345,0.4718558357258211,1.259666919708252
149,1,0.31631814148269694,0.43508792852645767,1.4401631355285645,,,
199,1,0.4054927447258622,0.5207492494461045,1.0494582653045654,,,
239,1,,,,0.5833610280466462,0.6772099469279135,0.828333854675293
249,2,0.4764603388606223,0.5906346051341856,0.9881023168563843,,,
299,2,0.5394682011367461,0.632844223496804,0.4232481122016907,,,
349,2,0.6023106705820254,0.6932582875570442,1.0097299814224243,,,
359,2,,,,0.6858916347486499,0.7678611020275826,0.6162039041519165
399,3,0.6516721938941153,0.7204971326845682,0.4577597677707672,,,
449,3,0.6870167850941035,0.7742544540539108,0.33494213223457336,,,
479,3,,,,0.7393526359527584,0.823628240832822,0.5114181041717529
499,4,0.6372228864510054,0.7338329089394352,0.4085983335971832,,,
549,4,0.7775676021627757,0.8424999622176957,0.3527364432811737,,,
599,4,0.6493290143034877,0.7517332897810293,0.4995225965976715,,,
599,4,,,,0.7766548287011892,0.8524805828031513,0.4085646867752075
649,5,0.7799202680704642,0.8479692346466511,0.19927765429019928,,,
699,5,0.8122693873919449,0.874370594996361,0.14330361783504486,,,
719,5,,,,0.8118735872381402,0.8758105646850951,0.359096884727478
749,6,0.881585243642924,0.9404142230851273,0.2251501977443695,,,
799,6,0.8770406505733086,0.9309038819260843,0.12250015139579773,,,
839,6,,,,0.8341017938859071,0.8921174121593999,0.29814547300338745
849,7,0.7991610351439186,0.8515428633325945,0.44576549530029297,,,
899,7,0.840598972219548,0.9265059550497968,0.18502342700958252,,,
949,7,0.8122800656779864,0.8639485151666934,0.2622342109680176,,,
959,7,,,,0.8334776155809989,0.9050990655209125,0.26607948541641235
999,8,0.9041631236793108,0.9383585228375425,0.07531231641769409,,,
1049,8,0.8677214132468306,0.910396692909922,0.3203282356262207,,,
1079,8,,,,0.8375782247223916,0.902774454860294,0.2634936571121216
1099,9,0.8682588649615005,0.9257109939604176,0.05195075273513794,,,
1149,9,0.8318716204127052,0.880766691384867,0.1310361623764038,,,
1199,9,0.8699338748994353,0.9282769186548276,0.5792663097381592,,,
1199,9,,,,0.8645326404296897,0.9173145779560689,0.2516651451587677
1249,10,0.8583168929154215,0.9059815129436757,0.1784118115901947,,,
1299,10,0.9052598454482247,0.9330786679820973,0.3115580081939697,,,
1319,10,,,,0.8814897713893144,0.9310377807296365,0.2320152372121811
1349,11,0.9075076435390872,0.9297227537639151,0.059183333069086075,,,
1399,11,0.9680218211622859,0.9800748930149809,0.06671275198459625,,,
1439,11,,,,0.8668441526446813,0.9128077831168887,0.2461726814508438
1449,12,0.880968873045387,0.9147001908623701,0.07592254132032394,,,
1499,12,0.9166713312123598,0.939549089134204,0.17001895606517792,,,
1549,12,0.8979218561894827,0.9336999151174044,0.12023070454597473,,,
1559,12,,,,0.8800751490469926,0.9307277089658128,0.2189788520336151
1599,13,0.9368618216438728,0.9719544324108992,0.0402466356754303,,,
1649,13,0.9208209680837057,0.9673800110055949,0.07138201594352722,,,
1679,13,,,,0.8448485758524736,0.9087234476573527,0.35262438654899597
1699,14,0.9441097114573882,0.9734475324155173,0.04571058228611946,,,
1749,14,0.9565634765197998,0.9754181657532212,0.04623718187212944,,,
1799,14,0.9516817981627552,0.9609383155817115,0.05699824541807175,,,
1799,14,,,,0.8853489938778308,0.9303119988312557,0.22579066455364227
1849,15,0.9583170813519203,0.9716087299632314,0.05333366245031357,,,
1899,15,0.9258179502981791,0.9542389473361662,0.07172632217407227,,,
1919,15,,,,0.8864602041356959,0.9221320124184991,0.2365460842847824
